Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zebra Technologies,ZBRA, IL,Lincolnshire,"May 4, 2017",,,3.0,4.0,3.0,,4.0,4.0,3.0,Former,,,Contractor,, Senior Motion Graphics Designer ,"Recommends, No opinion of CEO",,,,,,,,,Money is reasonable for a contract job.,A lot of changes from client due to communication flaws.,N/A
Zebra Technologies,ZBRA, IL,Lincolnshire,"July 3, 2018",,(5),1.0,2.0,1.0,,1.0,3.0,2.0,,Current,,,, Software Engineer,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,If you can encourage yourself then you can learn new things. If you get your own big bucket then everything becomes into pros,The title says it all.,Hope you don't sell out again !!!
Zebra Technologies,ZBRA, IL,Lincolnshire,"September 15, 2015",,,3.0,4.0,4.0,,4.0,4.0,4.0,,,,,,Sales Manager ,Approves of CEO,,,,,,,,,"business is strong, good reputation in the industry","many changes before and after Moto acquisition, tight cost control",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 30, 2017",,,2.0,2.0,2.0,,2.0,2.0,2.0,Former,,,,, Account Manager,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,Drinking a lot in Korea Office,Too stick company culture specific in Korea office,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 13, 2018",,,3.0,3.0,3.0,,2.0,4.0,,,Current,,,, Anonymous Employee ,"Recommends, Approves of CEO",full time,,,,,,,,Good product based company. Product Innovation,Some managers create pressure for no reason. favoritism in managers,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 23, 2018",,,3.0,4.0,3.0,,2.0,2.0,4.0,,Current,,,, Anonymous Employee,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,"International company, to have knowledge.",benefits would be similar as in USA.,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"September 15, 2012",,(1),1.0,2.0,2.0,,2.0,5.0,2.0,Former,,,,, Sales ,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,Great benefits until you sell too much and they have to pay you too much.,"Watch your back, they gave me the corporate ""reorganization"" heave ho.",Respect your employee's right to work!
Zebra Technologies,ZBRA, IL,Lincolnshire,"May 10, 2016",,(1),3.0,3.0,2.0,,3.0,3.0,2.0,,,,,,, Approves of CEO,,,,,,,,,"Friendly staff, especially HR director",bad growth for full time employees,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"May 17, 2018",,,3.0,,,,,,,,Current,,,, Anonymous Employee ,NULL,full time,,,,,,,,"nice and smart people, friendly place","misorganized management, change direction frequently",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 4, 2016",,(2),1.0,1.0,3.0,,2.0,,1.0,Former,,,Contractor,, Anonymous Contractor,"Doesn't Recommend, Neutral Outlook, Approves of CEO",,,less than a year,,,,,,Free coffee n biscuits. Timing is flexible ...no such mentionable pros.,Treat contractors as slaves. Always create unnecessary pressure and make you feel terrible. Easily blames contractors for mistake of the employee.,try to treat people with respect
